model,rank,feature,shap_value,feature_value
XGBoost-biophysical,1,cdr3_W,-2.495885848999023,1.0
XGBoost-biophysical,1,cdr3_W,0.9544348120689392,0.0
XGBoost-biophysical,1,cdr3_W,1.1650583744049072,0.0
XGBoost-biophysical,1,cdr3_W,0.923111617565155,0.0
XGBoost-biophysical,1,cdr3_W,1.2645213603973389,0.0
XGBoost-biophysical,1,cdr3_W,-3.0073070526123047,2.0
XGBoost-biophysical,1,cdr3_W,-1.5968263149261477,1.0
XGBoost-biophysical,1,cdr3_W,0.8703303337097168,0.0
XGBoost-biophysical,1,cdr3_W,1.205985188484192,0.0
XGBoost-biophysical,1,cdr3_W,1.3520289659500122,0.0
XGBoost-biophysical,1,cdr3_W,1.335713267326355,0.0
XGBoost-biophysical,1,cdr3_W,-2.3338122367858887,1.0
XGBoost-biophysical,1,cdr3_W,0.9259583950042723,0.0
XGBoost-biophysical,1,cdr3_W,0.8784708976745605,0.0
XGBoost-biophysical,1,cdr3_W,1.0552281141281128,0.0
XGBoost-biophysical,1,cdr3_W,1.326816201210022,0.0
XGBoost-biophysical,1,cdr3_W,-0.7948197722434998,1.0
XGBoost-biophysical,1,cdr3_W,1.2977216243743896,0.0
XGBoost-biophysical,1,cdr3_W,1.2689144611358645,0.0
XGBoost-biophysical,1,cdr3_W,-1.6441758871078491,1.0
XGBoost-biophysical,1,cdr3_W,1.3084572553634644,0.0
XGBoost-biophysical,1,cdr3_W,-1.6163184642791748,1.0
XGBoost-biophysical,1,cdr3_W,1.2289376258850098,0.0
XGBoost-biophysical,1,cdr3_W,-2.4962005615234375,1.0
XGBoost-biophysical,1,cdr3_W,-2.4895455837249756,1.0
XGBoost-biophysical,1,cdr3_W,0.7061023116111755,0.0
XGBoost-biophysical,1,cdr3_W,0.8663236498832703,0.0
XGBoost-biophysical,1,cdr3_W,-1.5303456783294678,1.0
XGBoost-biophysical,1,cdr3_W,0.9906370639801024,0.0
XGBoost-biophysical,1,cdr3_W,0.7974981665611267,0.0
XGBoost-biophysical,1,cdr3_W,0.7445064187049866,0.0
XGBoost-biophysical,1,cdr3_W,1.180842041969299,0.0
XGBoost-biophysical,1,cdr3_W,0.888576090335846,0.0
XGBoost-biophysical,1,cdr3_W,-1.6434450149536133,1.0
XGBoost-biophysical,1,cdr3_W,0.902136504650116,0.0
XGBoost-biophysical,1,cdr3_W,-1.6504900455474854,1.0
XGBoost-biophysical,1,cdr3_W,1.1859337091445925,0.0
XGBoost-biophysical,1,cdr3_W,1.4020174741744995,0.0
XGBoost-biophysical,1,cdr3_W,0.9847360849380492,0.0
XGBoost-biophysical,1,cdr3_W,-1.0554955005645752,1.0
XGBoost-biophysical,1,cdr3_W,0.8419928550720215,0.0
XGBoost-biophysical,1,cdr3_W,-2.0896027088165283,1.0
XGBoost-biophysical,1,cdr3_W,0.9398906230926514,0.0
XGBoost-biophysical,1,cdr3_W,1.1323773860931396,0.0
XGBoost-biophysical,1,cdr3_W,-2.1646461486816406,1.0
XGBoost-biophysical,1,cdr3_W,1.154784917831421,0.0
XGBoost-biophysical,1,cdr3_W,1.2418158054351809,0.0
XGBoost-biophysical,1,cdr3_W,1.1114870309829712,0.0
XGBoost-biophysical,1,cdr3_W,0.9805529117584229,0.0
XGBoost-biophysical,1,cdr3_W,0.7167603373527527,0.0
XGBoost-biophysical,1,cdr3_W,-1.2181174755096436,1.0
XGBoost-biophysical,1,cdr3_W,1.1101963520050049,0.0
XGBoost-biophysical,1,cdr3_W,1.0379719734191897,0.0
XGBoost-biophysical,1,cdr3_W,1.1507718563079834,0.0
XGBoost-biophysical,1,cdr3_W,0.8562341928482056,0.0
XGBoost-biophysical,1,cdr3_W,1.2626655101776123,0.0
XGBoost-biophysical,1,cdr3_W,-1.8580613136291504,1.0
XGBoost-biophysical,1,cdr3_W,1.2050689458847046,0.0
XGBoost-biophysical,1,cdr3_W,-2.76306676864624,2.0
XGBoost-biophysical,1,cdr3_W,0.6405957937240601,0.0
XGBoost-biophysical,1,cdr3_W,0.8919141888618469,0.0
XGBoost-biophysical,1,cdr3_W,0.8849010467529297,0.0
XGBoost-biophysical,1,cdr3_W,0.7500463128089905,0.0
XGBoost-biophysical,1,cdr3_W,0.6408843398094177,0.0
XGBoost-biophysical,1,cdr3_W,0.9355031847953796,0.0
XGBoost-biophysical,1,cdr3_W,0.4994768500328064,0.0
XGBoost-biophysical,1,cdr3_W,1.305353045463562,0.0
XGBoost-biophysical,1,cdr3_W,1.1112933158874512,0.0
XGBoost-biophysical,1,cdr3_W,1.340707778930664,0.0
XGBoost-biophysical,1,cdr3_W,-1.4165188074111938,1.0
XGBoost-biophysical,1,cdr3_W,0.6575340032577515,0.0
XGBoost-biophysical,1,cdr3_W,1.2403866052627563,0.0
