model,rank,feature,shap_value,feature_value
RF-biophysical,1,cdr3_charge,-0.1744952862395541,3.1826000213623047
RF-biophysical,1,cdr3_charge,0.1546833966236055,-0.9976000189781188
RF-biophysical,1,cdr3_charge,0.066714384069967,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1565286012008024,-0.9980000257492064
RF-biophysical,1,cdr3_charge,-0.1863247159781354,4.091100215911865
RF-biophysical,1,cdr3_charge,0.1596812023492164,-0.9976000189781188
RF-biophysical,1,cdr3_charge,0.0594171885474295,0.0925000011920929
RF-biophysical,1,cdr3_charge,0.1223468465066149,0.0015999999595806
RF-biophysical,1,cdr3_charge,0.1348475245054056,0.0007999999797903
RF-biophysical,1,cdr3_charge,-0.0893114231655561,2.0007998943328857
RF-biophysical,1,cdr3_charge,-0.1833992152319102,3.0007998943328857
RF-biophysical,1,cdr3_charge,0.1448238154725991,-0.9075000286102296
RF-biophysical,1,cdr3_charge,0.1416081034814219,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1340472375559986,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.0982013544880156,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.0572193746583397,1.0016000270843506
RF-biophysical,1,cdr3_charge,0.1345953836380512,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1225815144767799,0.0015999999595806
RF-biophysical,1,cdr3_charge,-0.1753464430234384,3.0917000770568848
RF-biophysical,1,cdr3_charge,0.131491277199461,0.0015999999595806
RF-biophysical,1,cdr3_charge,0.1352566103372506,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1779343880067228,-3.9951000213623047
RF-biophysical,1,cdr3_charge,0.1676510507369041,0.001700000022538
RF-biophysical,1,cdr3_charge,-0.155987324897176,2.092600107192993
RF-biophysical,1,cdr3_charge,0.0432819687601797,0.0925000011920929
RF-biophysical,1,cdr3_charge,0.1586226538827912,-0.9980000257492064
RF-biophysical,1,cdr3_charge,-0.1683800434102961,3.0917000770568848
RF-biophysical,1,cdr3_charge,-0.2026003897026724,2.182300090789795
RF-biophysical,1,cdr3_charge,0.0790468540207907,1.0008000135421753
RF-biophysical,1,cdr3_charge,-0.1254391236994788,2.0917000770568848
RF-biophysical,1,cdr3_charge,0.1355280622872194,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1583176831903394,-1.9062000513076784
RF-biophysical,1,cdr3_charge,-0.1856760616826229,3.001300096511841
RF-biophysical,1,cdr3_charge,-0.1171731457128168,2.000499963760376
RF-biophysical,1,cdr3_charge,-0.1797126436601764,3.091399908065796
RF-biophysical,1,cdr3_charge,0.152077186186379,-0.9983999729156494
RF-biophysical,1,cdr3_charge,0.1572482439863224,-0.9980000257492064
RF-biophysical,1,cdr3_charge,-0.195105077470313,3.0007998943328857
RF-biophysical,1,cdr3_charge,0.0179252008282687,1.0916999578475952
RF-biophysical,1,cdr3_charge,-0.1255405994753964,2.0007998943328857
RF-biophysical,1,cdr3_charge,-0.1209377577785493,2.000499963760376
RF-biophysical,1,cdr3_charge,0.137784727556557,-0.9980000257492064
RF-biophysical,1,cdr3_charge,-0.1208850145937621,1.093000054359436
RF-biophysical,1,cdr3_charge,0.1476571783054064,-1.9972000122070312
RF-biophysical,1,cdr3_charge,-0.185069027470806,2.0917000770568848
RF-biophysical,1,cdr3_charge,0.0413937334801248,1.0008000135421753
RF-biophysical,1,cdr3_charge,-0.1863130403765833,5.000500202178955
RF-biophysical,1,cdr3_charge,-0.1800267005366589,3.000499963760376
RF-biophysical,1,cdr3_charge,0.1457499243811685,-0.9070000052452089
RF-biophysical,1,cdr3_charge,0.1631717113064572,-0.9976000189781188
RF-biophysical,1,cdr3_charge,0.1370339827513001,-0.9972000122070312
RF-biophysical,1,cdr3_charge,0.1440780226533779,-1.997599959373474
RF-biophysical,1,cdr3_charge,0.0694300031604854,1.002400040626526
RF-biophysical,1,cdr3_charge,-0.1860810892329582,5.000100135803223
RF-biophysical,1,cdr3_charge,0.1388115000830332,-0.9972000122070312
RF-biophysical,1,cdr3_charge,-0.1666338505982413,4.000500202178955
RF-biophysical,1,cdr3_charge,0.1258515357041019,0.001700000022538
RF-biophysical,1,cdr3_charge,-0.1681328717312782,4.000800132751465
RF-biophysical,1,cdr3_charge,0.0123375090269777,1.0916999578475952
RF-biophysical,1,cdr3_charge,0.1779306679605891,-1.8152999877929688
RF-biophysical,1,cdr3_charge,0.1528012059458956,-1.9972000122070312
RF-biophysical,1,cdr3_charge,0.0314661803106898,1.0008000135421753
RF-biophysical,1,cdr3_charge,-0.1892722780323889,3.1839001178741455
RF-biophysical,1,cdr3_charge,-0.1797670608503607,4.091400146484375
RF-biophysical,1,cdr3_charge,0.1584280970725344,-0.9983999729156494
RF-biophysical,1,cdr3_charge,0.1146085359434162,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1545239607927267,-1.997599959373474
RF-biophysical,1,cdr3_charge,0.1218155382282923,0.0020000000949949
RF-biophysical,1,cdr3_charge,-0.1690693825050651,3.0917000770568848
RF-biophysical,1,cdr3_charge,0.0673294834354276,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1645027059564443,-0.9980000257492064
RF-biophysical,1,cdr3_charge,-0.2358608098792285,3.000200033187866
RF-biophysical,1,cdr3_charge,0.1384640112375931,-0.9075000286102296
RF-biophysical,1,cdr3_charge,0.1478135723490201,-0.9070000052452089
RF-biophysical,1,cdr3_charge,0.121371659820814,1.0012999773025513
RF-biophysical,1,cdr3_charge,-0.178088275714137,2.0922000408172607
RF-biophysical,1,cdr3_charge,0.1406167056766374,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1644515188878693,-0.9962000250816344
RF-biophysical,1,cdr3_charge,-0.1007756574849886,2.0007998943328857
RF-biophysical,1,cdr3_charge,0.0587227136139272,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1347655249732822,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1532505878195854,-0.9983999729156494
RF-biophysical,1,cdr3_charge,-0.1714484035627543,3.182300090789795
RF-biophysical,1,cdr3_charge,0.1477536104587133,-0.9070000052452089
RF-biophysical,1,cdr3_charge,0.0548204790101447,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.0371608665971533,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1601146905576529,-0.9976000189781188
RF-biophysical,1,cdr3_charge,-0.1701042604465863,2.0917000770568848
RF-biophysical,1,cdr3_charge,0.1320015956040208,0.0007999999797903
RF-biophysical,1,cdr3_charge,-0.1910071761400819,3.0917000770568848
RF-biophysical,1,cdr3_charge,0.1546874272413128,-1.996399998664856
RF-biophysical,1,cdr3_charge,0.1299459854809174,0.0015999999595806
RF-biophysical,1,cdr3_charge,-0.1710039132637927,4.000500202178955
RF-biophysical,1,cdr3_charge,0.1465821789101241,-0.9983999729156494
RF-biophysical,1,cdr3_charge,-0.1807204114373891,2.2734999656677246
RF-biophysical,1,cdr3_charge,0.1297312901399592,0.0015999999595806
RF-biophysical,1,cdr3_charge,-0.1594652035525447,2.1826000213623047
RF-biophysical,1,cdr3_charge,-0.1327789081757102,2.0917000770568848
RF-biophysical,1,cdr3_charge,-0.1814696874590364,2.0922000408172607
RF-biophysical,1,cdr3_charge,-0.1847001822260421,4.182300090789795
RF-biophysical,1,cdr3_charge,-0.1675267336272899,4.000500202178955
RF-biophysical,1,cdr3_charge,0.1621083292704436,-0.9983999729156494
RF-biophysical,1,cdr3_charge,0.1508014921098225,-0.9980000257492064
RF-biophysical,1,cdr3_charge,-0.1757971243353564,3.0007998943328857
RF-biophysical,1,cdr3_charge,0.1599838269265855,-1.997599959373474
RF-biophysical,1,cdr3_charge,-0.1156165062232691,2.000200033187866
RF-biophysical,1,cdr3_charge,-0.170683329682858,3.091399908065796
RF-biophysical,1,cdr3_charge,0.1367258848129366,0.0020000000949949
RF-biophysical,1,cdr3_charge,0.1397591461220277,-1.9972000122070312
RF-biophysical,1,cdr3_charge,-0.183264417257744,4.091700077056885
RF-biophysical,1,cdr3_charge,0.1405430060419257,0.0007999999797903
RF-biophysical,1,cdr3_charge,0.1523437008620951,-1.9972000122070312
RF-biophysical,1,cdr3_charge,-0.1767891142824939,4.000199794769287
RF-biophysical,1,cdr3_charge,-0.1672790507703476,4.000800132751465
RF-biophysical,1,cdr3_charge,0.1433688231116022,-0.816100001335144
RF-biophysical,1,cdr3_charge,0.1475665193917539,-0.9966999888420104
RF-biophysical,1,cdr3_charge,0.1294678480799964,0.0015999999595806
RF-biophysical,1,cdr3_charge,0.1398199994643267,-3.996000051498413
RF-biophysical,1,cdr3_charge,0.0735210170622908,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1564626097110579,-3.9951000213623047
RF-biophysical,1,cdr3_charge,-0.1812518599621007,3.000499963760376
RF-biophysical,1,cdr3_charge,0.1643738511619623,0.0007999999797903
RF-biophysical,1,cdr3_charge,-0.1716708545196008,3.0917000770568848
RF-biophysical,1,cdr3_charge,0.1192255431445043,0.0015999999595806
RF-biophysical,1,cdr3_charge,0.1511088753204423,-0.9983999729156494
RF-biophysical,1,cdr3_charge,-0.1773992945269561,4.000800132751465
RF-biophysical,1,cdr3_charge,-0.111424287593788,2.000499963760376
RF-biophysical,1,cdr3_charge,0.1634907134832938,-1.9067000150680544
RF-biophysical,1,cdr3_charge,-0.1775256512484395,4.182300090789795
RF-biophysical,1,cdr3_charge,0.051754032035781,1.0008000135421753
RF-biophysical,1,cdr3_charge,0.1662003926158103,-0.9975000023841858
RF-biophysical,1,cdr3_charge,-0.1565782310081637,3.000499963760376
RF-biophysical,1,cdr3_charge,0.1356305850898441,-0.9983999729156494
RF-biophysical,1,cdr3_charge,0.0248135837467,1.0008000135421753
RF-biophysical,1,cdr3_charge,-0.1800185950533502,3.000499963760376
RF-biophysical,1,cdr3_charge,0.1238981943503124,0.0020000000949949
RF-biophysical,1,cdr3_charge,-0.0211568758132228,2.0007998943328857
RF-biophysical,1,cdr3_charge,-0.1946143679536005,3.092600107192993
RF-biophysical,1,cdr3_charge,-0.1780216343450975,3.000499963760376
RF-biophysical,1,cdr3_charge,0.0088902260637723,1.0916999578475952
RF-biophysical,1,cdr3_charge,0.036015488377829,1.000499963760376
RF-biophysical,1,cdr3_charge,0.1590512181556247,-1.9972000122070312
RF-biophysical,1,cdr3_charge,0.1381013957677166,-1.997599959373474
