model,rank,feature,shap_value,feature_value
XGBoost-biophysical,1,cdr3_charge,-2.914374828338623,3.1826000213623047
XGBoost-biophysical,1,cdr3_charge,1.314513087272644,-0.9976000189781188
XGBoost-biophysical,1,cdr3_charge,0.9907485842704772,1.0008000135421753
XGBoost-biophysical,1,cdr3_charge,1.3703944683074951,-0.9980000257492064
XGBoost-biophysical,1,cdr3_charge,-3.443734884262085,4.091100215911865
XGBoost-biophysical,1,cdr3_charge,1.2950770854949951,-0.9976000189781188
XGBoost-biophysical,1,cdr3_charge,0.9928171038627625,0.0925000011920929
XGBoost-biophysical,1,cdr3_charge,1.2663143873214722,0.0015999999595806
XGBoost-biophysical,1,cdr3_charge,1.2883944511413574,0.0007999999797903
XGBoost-biophysical,1,cdr3_charge,-0.4116451740264892,2.0007998943328857
XGBoost-biophysical,1,cdr3_charge,-3.0283102989196777,3.0007998943328857
XGBoost-biophysical,1,cdr3_charge,1.3583284616470337,-0.9075000286102296
XGBoost-biophysical,1,cdr3_charge,1.2781368494033811,0.0007999999797903
XGBoost-biophysical,1,cdr3_charge,1.1968644857406616,0.0007999999797903
XGBoost-biophysical,1,cdr3_charge,1.1677849292755127,1.0008000135421753
XGBoost-biophysical,1,cdr3_charge,0.8833939433097839,1.0016000270843506
XGBoost-biophysical,1,cdr3_charge,1.2935171127319336,0.0007999999797903
XGBoost-biophysical,1,cdr3_charge,1.3136547803878784,0.0015999999595806
XGBoost-biophysical,1,cdr3_charge,-3.23986554145813,3.0917000770568848
XGBoost-biophysical,1,cdr3_charge,1.0756293535232544,0.0015999999595806
XGBoost-biophysical,1,cdr3_charge,1.1285545825958252,0.0007999999797903
XGBoost-biophysical,1,cdr3_charge,1.4724411964416504,-3.9951000213623047
XGBoost-biophysical,1,cdr3_charge,1.237014889717102,0.001700000022538
XGBoost-biophysical,1,cdr3_charge,-2.207742929458618,2.092600107192993
XGBoost-biophysical,1,cdr3_charge,0.9307602047920228,0.0925000011920929
XGBoost-biophysical,1,cdr3_charge,1.3583924770355225,-0.9980000257492064
XGBoost-biophysical,1,cdr3_charge,-3.099043130874634,3.0917000770568848
XGBoost-biophysical,1,cdr3_charge,-2.8413288593292236,2.182300090789795
XGBoost-biophysical,1,cdr3_charge,1.1157751083374023,1.0008000135421753
XGBoost-biophysical,1,cdr3_charge,-1.3278162479400637,2.0917000770568848
XGBoost-biophysical,1,cdr3_charge,1.1953052282333374,0.0007999999797903
XGBoost-biophysical,1,cdr3_charge,1.3279691934585571,-1.9062000513076784
XGBoost-biophysical,1,cdr3_charge,-3.17478346824646,3.001300096511841
XGBoost-biophysical,1,cdr3_charge,-0.8419327735900879,2.000499963760376
XGBoost-biophysical,1,cdr3_charge,-3.2324650287628174,3.091399908065796
XGBoost-biophysical,1,cdr3_charge,1.3908922672271729,-0.9983999729156494
XGBoost-biophysical,1,cdr3_charge,1.3708748817443848,-0.9980000257492064
XGBoost-biophysical,1,cdr3_charge,-2.961214780807495,3.0007998943328857
XGBoost-biophysical,1,cdr3_charge,0.5900663733482361,1.0916999578475952
XGBoost-biophysical,1,cdr3_charge,-0.9663233160972596,2.0007998943328857
XGBoost-biophysical,1,cdr3_charge,-0.7562187314033508,2.000499963760376
XGBoost-biophysical,1,cdr3_charge,1.2092758417129517,-0.9980000257492064
XGBoost-biophysical,1,cdr3_charge,-0.3669533133506775,1.093000054359436
XGBoost-biophysical,1,cdr3_charge,1.4301162958145142,-1.9972000122070312
XGBoost-biophysical,1,cdr3_charge,-2.067023754119873,2.0917000770568848
XGBoost-biophysical,1,cdr3_charge,0.8604586720466614,1.0008000135421753
XGBoost-biophysical,1,cdr3_charge,-3.475306749343872,5.000500202178955
XGBoost-biophysical,1,cdr3_charge,-3.0738914012908936,3.000499963760376
XGBoost-biophysical,1,cdr3_charge,1.287964940071106,-0.9070000052452089
