method,region,fraction_of_mass
RF,HCDR3,0.7810095949635966
RF,VH,0.2189904050364034
XGBoost,HCDR3,0.7536671417386913
XGBoost,VH,0.2463328582613086
Transformer,HCDR3,0.405103922749638
Transformer,VH,0.2633798986966688
Transformer,VL,0.3315161785536932
