method,region,fraction_of_mass
RF,HCDR3,0.8234919322087886
RF,VH,0.1765080677912113
XGBoost,HCDR3,0.8153110929824713
XGBoost,VH,0.1846889070175286
Transformer,HCDR3,0.8022304239150879
Transformer,VH,0.1245724140171881
Transformer,VL,0.0731971620677239
